date open high low close share turnover
09-Dec-2014 6855.20 6864.70 6761.00 6767.60 645395780 14429.98
10-Dec-2014 6751.60 6809.85 6751.60 6796.25 603642580 14194.79
11-Dec-2014 6784.40 6793.00 6725.90 6744.95 658754457 15025.32
12-Dec-2014 6756.10 6774.70 6675.60 6680.55 670321290 14780.40
15-Dec-2014 6632.40 6687.80 6632.40 6667.55 571914251 12768.51
16-Dec-2014 6630.25 6643.75 6513.10 6525.20 838068760 16781.94
17-Dec-2014 6501.80 6535.70 6410.35 6492.90 853399582 18764.51
18-Dec-2014 6579.10 6633.45 6561.80 6625.60 669429611 15320.50
19-Dec-2014 6684.15 6709.00 6661.00 6670.15 748936914 16492.41
22-Dec-2014 6690.85 6748.40 6676.40 6744.15 524567014 11281.55
23-Dec-2014 6748.35 6778.80 6692.55 6703.00 556335744 12310.95
24-Dec-2014 6706.95 6718.45 6641.45 6650.60 918672720 20933.95
26-Dec-2014 6672.15 6696.80 6635.25 6674.80 447217480 8154.20
29-Dec-2014 6688.75 6741.45 6688.75 6718.60 489674632 9418.92
30-Dec-2014 6730.65 6739.20 6708.65 6733.75 512338633 9712.79
31-Dec-2014 6730.50 6779.30 6730.50 6773.65 532187256 10692.56
01-Jan-2015 6767.60 6794.25 6755.00 6786.10 440905954 7133.12
02-Jan-2015 6792.40 6883.05 6792.40 6866.45 617743719 12163.31
05-Jan-2015 6877.35 6913.25 6848.25 6857.45 614330577 12316.50
06-Jan-2015 6817.65 6817.65 6646.40 6656.80 716905569 15639.56
07-Jan-2015 6653.65 6680.50 6605.40 6644.95 723294637 15077.63
08-Jan-2015 6715.35 6758.25 6708.00 6755.45 654891539 15779.94
09-Jan-2015 6798.45 6811.30 6727.35 6783.00 656149896 17326.21
12-Jan-2015 6790.60 6819.10 6763.20 6815.05 565061352 12421.73
13-Jan-2015 6835.25 6846.70 6777.70 6801.40 633102324 15131.78
14-Jan-2015 6810.20 6828.90 6759.55 6787.15 617337112 14764.03
15-Jan-2015 6897.15 6962.15 6870.95 6937.50 908184374 19812.02
16-Jan-2015 6945.10 6970.95 6913.35 6961.45 793395731 17233.77
19-Jan-2015 6988.30 7013.30 6984.45 6992.15 753124977 13719.90
20-Jan-2015 7013.15 7088.55 7013.15 7080.65 715528499 15985.18
21-Jan-2015 7100.50 7117.00 7071.90 7099.60 740149235 18544.05
22-Jan-2015 7111.65 7136.10 7092.95 7121.85 828372340 17142.24
23-Jan-2015 7176.00 7191.90 7137.45 7170.25 853708400 19519.47
27-Jan-2015 7197.75 7236.80 7169.80 7229.05 753389390 19569.08
28-Jan-2015 7224.75 7290.45 7210.65 7241.55 836268363 20684.89
29-Jan-2015 7234.40 7264.55 7203.25 7257.25 968369702 23522.36
30-Jan-2015 7293.25 7293.25 7140.15 7166.70 1151032544 22907.98
02-Feb-2015 7164.60 7196.60 7142.00 7172.90 860671249 19402.58
03-Feb-2015 7196.75 7203.75 7124.20 7137.45 870521232 19721.84
04-Feb-2015 7164.80 7164.80 7095.30 7108.75 921727881 18341.77
05-Feb-2015 7116.80 7176.70 7056.40 7076.65 797466152 17948.37
06-Feb-2015 7070.05 7087.20 7019.70 7029.45 787820408 15785.28
09-Feb-2015 6973.35 6978.65 6915.45 6922.35 707969352 14045.32
10-Feb-2015 6889.25 7022.95 6888.05 6959.90 833633496 18500.44
11-Feb-2015 6990.45 7040.45 6990.35 7031.80 741572390 15508.63
12-Feb-2015 7071.15 7117.20 7032.20 7108.20 881187542 18085.53
13-Feb-2015 7134.10 7186.30 7129.80 7176.20 853451640 19533.58
16-Feb-2015 7200.60 7227.05 7162.00 7175.00 926158576 15575.88
18-Feb-2015 7182.20 7242.45 7182.20 7228.55 1065299979 19867.42
19-Feb-2015 7245.55 7258.95 7168.00 7242.85 917135398 18532.97
20-Feb-2015 7250.75 7250.75 7194.90 7209.40 873700553 16009.42
23-Feb-2015 7233.35 7237.15 7134.50 7147.55 707217272 14892.67
24-Feb-2015 7162.55 7171.45 7123.20 7146.60 741277539 15717.58
25-Feb-2015 7177.45 7204.75 7134.25 7144.20 670750425 14673.89
26-Feb-2015 7154.75 7154.75 7066.05 7077.50 838034434 20907.71
27-Feb-2015 7111.10 7217.05 7111.10 7210.30 1114198291 23844.28
28-Feb-2015 7262.70 7273.10 7131.40 7239.45 1136488436 19247.52
02-Mar-2015 7281.85 7308.00 7234.95 7299.65 955723876 21828.82
03-Mar-2015 7309.50 7352.60 7288.05 7345.55 849662756 19163.59
04-Mar-2015 7426.80 7428.10 7260.60 7279.80 1094409207 23859.81
05-Mar-2015 7287.80 7314.80 7238.50 7303.35 803172306 17631.39
09-Mar-2015 7267.15 7267.15 7162.30 7171.50 748536444 16385.38
10-Mar-2015 7184.40 7199.00 7116.75 7141.70 677089532 17050.92
11-Mar-2015 7156.15 7166.20 7115.80 7126.60 747101793 16748.85
12-Mar-2015 7158.85 7209.80 7158.85 7202.60 803300219 16751.10
13-Mar-2015 7253.75 7253.75 7089.20 7099.90 801685829 18182.62
16-Mar-2015 7111.05 7111.30 7064.55 7078.95 620221902 15077.73
17-Mar-2015 7122.10 7166.40 7087.25 7154.05 687747826 16877.70
18-Mar-2015 7172.65 7175.10 7120.65 7137.05 756935127 16104.65
19-Mar-2015 7189.55 7217.70 7086.25 7096.75 713921214 16800.35
20-Mar-2015 7096.20 7096.20 7016.05 7028.20 844259401 18682.62
23-Mar-2015 7045.80 7053.10 6990.15 6997.60 615398522 12306.14
24-Mar-2015 6991.70 7040.15 6980.30 6984.75 596568493 14343.52
25-Mar-2015 7005.25 7006.30 6963.70 6972.45 603834063 14844.08
26-Mar-2015 6934.20 6945.65 6836.15 6846.25 836084545 22240.00
27-Mar-2015 6889.10 6894.75 6778.45 6846.60 724904818 16842.93
30-Mar-2015 6889.35 6976.75 6889.20 6969.95 585320913 12870.29
31-Mar-2015 7001.70 7020.80 6952.35 6978.15 726549046 15817.94
01-Apr-2015 6975.80 7068.85 6964.65 7060.20 617338059 13819.26
06-Apr-2015 7087.05 7131.55 7059.65 7126.75 703091643 15365.57
07-Apr-2015 7148.85 7158.10 7083.65 7144.40 797008749 16182.63
08-Apr-2015 7176.70 7205.75 7168.40 7193.60 856968268 18046.87
09-Apr-2015 7229.90 7237.35 7171.10 7234.00 760077725 17385.91
10-Apr-2015 7236.00 7251.45 7217.45 7246.05 730297787 16017.26
13-Apr-2015 7266.15 7292.00 7245.60 7286.20 627519792 14212.19
15-Apr-2015 7299.55 7299.55 7205.45 7224.20 761813703 18166.55
16-Apr-2015 7233.85 7233.85 7134.50 7183.35 644051604 16465.23
17-Apr-2015 7180.40 7180.40 7087.10 7093.85 553715711 15954.19
20-Apr-2015 7104.65 7104.65 6933.00 6958.00 575261583 16159.41
21-Apr-2015 6943.50 6977.10 6890.10 6908.00 830771116 39766.23
22-Apr-2015 6928.30 6948.50 6836.65 6938.00 634738684 17796.30
23-Apr-2015 6978.35 7002.55 6899.50 6922.40 546383034 15979.66
24-Apr-2015 6931.55 6931.55 6804.20 6826.55 607908476 17623.96
27-Apr-2015 6846.70 6846.70 6715.90 6723.90 653165206 17747.66
28-Apr-2015 6720.65 6808.00 6698.45 6794.65 670114237 17837.33
29-Apr-2015 6793.70 6823.10 6757.90 6781.70 593662671 15440.59
30-Apr-2015 6771.05 6771.05 6714.95 6749.65 873175925 23820.60
04-May-2015 6790.80 6883.20 6788.55 6873.40 575305200 15215.53
05-May-2015 6880.65 6900.45 6847.40 6878.50 593347238 16090.66
06-May-2015 6869.95 6871.90 6671.35 6680.90 752720178 19387.72
